Assignee_Name,AC
Alcatel Alsthom Compagnie Generale d'Electricite,Alcatel Alsthom Compagnie Generale D'Electricite
Alcatel-Lucent USA Inc.,Alcatel-Lucent Usa Inc.
"ALCON RESEARCH, LTD.",Alcatel-Lucent Usa Inc.
"Alliance For Sustainable Energy, LLC","Alliance For Sustainable Energy, Llc"
"Alliance for Sustainable Energy, LLC.","Alliance For Sustainable Energy, Llc"
"ALLIANCE FOR SUSTAINABLE ENERGY,LLC","Alliance For Sustainable Energy, Llc"
Alliant Techsystems Inc.,Alliant Techsystems Inc.
Allied Signal Inc.,Alliedsignal Inc.
AlliedSignal Inc.,Alliedsignal Inc.
Allied-Signal Inc.,Alliedsignal Inc.
"AlliedSignal, Inc.",Alliedsignal Inc.
"Allied-Signal, Inc.",Alliedsignal Inc.
"ALPS ELECTRIC CO., LTD.","Alps Electric Co., Ltd."
Alstom UK Ltd.,Alstom Uk Ltd.
Altairnano Inc.,Altairnano Inc.
Aluminum Company of America,Aluminum Co. Of America
"Amazon Technologies, Inc.","Amazon Technologies, Inc."
Ambercon Technology (UK) Ltd,"Amazon Technologies, Inc."
American Express Company,American Express Co.
American Lithium Energy Corporation,American Lithium Energy Corp.
AMITA TECHNOLOGIES INC LTD.,Amita Technologies Inc.
Amita Technologies Inc. Ltd.,Amita Technologies Inc. Ltd.
"AMOGREENTECH CO., LTD.","Amogreentech Co.,Ltd."
Ampcera Inc.,Ampcera Inc.
Amtek Research International LLC,Amtek Research International Llc
Analytic Power Corp.,Analytic Power Corp.
Angstrom Power Inc.,Angstrom Power Inc.
Angstrom Power Incorporated,Angstrom Power Inc.
Annealsys,Annealsys - Premier Solutions Pte. Ltd
"Antig Technology Co., Ltd.","Antig Technology Co., Ltd."
"Apogee Power, Inc.","Apogee Power, Inc."
Apple Inc.,Apple Inc.
"APPLE, INC.",Apple Inc.
"Applejack 199 L,P.","Applejack 199, L.P"
"Applejack 199 L,P., a California limited partnership","Applejack 199, L.P"
APPLEJACK 199 L.P.,"Applejack 199, L.P"
"Applejack 199, L.P","Applejack 199, L.P"
"Applied Materials, Inc.","Applied Materials, Inc."
"APPLIED NANOSTRUCTURED SOLUTIONS, LLC","Applied Nanostructured Solutions, Llc"
Aquion Energy Inc.,Aquion Energy Inc.
"ARBL CO., LTD.","Arbol Co., Ltd."
"ARBOL CO., LTD.","Arbol Co., Ltd."
Arcotronics Industries S.p.A,Arcotronics Industries S.P.A.
ARCOTRONICS INDUSTRIES S.P.A.,Arcotronics Industries S.P.A.
Areva,Areva
AREVA STOCKAGE D'ENERGIE,Areva Stockage D'Energie
"Arisawa Manufacturing Co., Ltd.","Arisawa Manufacturing Co., Ltd."
"ARISAWA MFG. CO., LTD.","Arisawa Manufacturing Co., Ltd."
Arizona Board of Regents,Arizona Board Of Regents On Behalf Of Arizona State University
Arizona Board of Regents for and on behalf of Arizona State University,Arizona Board Of Regents On Behalf Of Arizona State University
Arizona Board of Regents on behalf of Arizona State University,Arizona Board Of Regents On Behalf Of Arizona State University
Arizona Board of Regents on Behalf of the University of Arizona,Arizona Board Of Regents On Behalf Of Arizona State University
"ARIZONA BOARD OF REGENTS, A BODY CORPORATE OF THE STATE OF ARIZONA ACTING FOR AND ON BEHALF OF ARIZONA STATE UNIVERSITY",Arizona Board Of Regents On Behalf Of Arizona State University
"Arizona Board of Regents, a body corporate of the state of Arizona, acting for Arizona State University",Arizona Board Of Regents On Behalf Of Arizona State University
"Arizona Board of Regents, acting for and on behalf of Arizona State University",Arizona Board Of Regents On Behalf Of Arizona State University
"Arizona State University (Arizona Board of Regents, a body corporate acting on behalf of Arizona State University)",Arizona Board Of Regents On Behalf Of Arizona State University
Arkema France,Arkema Inc.
Arkema Inc.,Arkema Inc.
ARLANXEO DEUTSCHLAND GMBH,Arlanxeo Deutschland Gmbh
Armines,Armines
Armins,Armines
"Arthur D Little, Inc.","Arthur D. Little, Inc."
"Arthur D. Little, Inc.","Arthur D. Little, Inc."
"Asahi Glass Co., Ltd",Agc Inc.
"Asahi Glass Co., Ltd.",Agc Inc.
ASAHI GLASS COMPANY LIMITED,Agc Inc.
Asahi Glass Company Ltd.,Agc Inc.
"Asahi Glass Company, Limited",Agc Inc.
"Asahi Glass Company, Ltd.",Agc Inc.
Asahi Kasei Chemicals Corporation,Asahi Kasei Corp.
Asahi Kasei Corporation,Asahi Kasei Corp.
Asahi Kasei E-materials Corporation,Asahi Kasei E-Materials Corp.
Asahi Kasei Kabushiki Kaisha,Asahi Kasei Corp.
Asahi Kasei Kogyo Kabushiki Kaisha,Asahi Kasei Corp.
ASAHIKASEIE-MATERIALS CORPORATION,Asahi Kasei E-Materials Corp.
Asea Brown Boveri AG,Asea Brown Boveri Ltd.
Asea Brown Boveri Ltd.,Asea Brown Boveri Ltd.
"Asia Pacific Fuel Cell Technologies, Ltd.","Asia Pacific Fuel Cell Technologies, Ltd."
"Associated Universities, Inc.","Associated Universities, Inc."
ASSOCIATION POUR LA RECHERCHE ET LE DEVELOPPEMENT DES METHODES ET PROCESSUS INDUSTRIELS <<ARMINES>>,Armins
Asulab S.A.,Asulab S.A.
"Atofina Chemicals, Inc.","Atofina Chemicals, Inc."
ATOMIC ENERGY COUNCIL-INSTITUTE OF NUCLEAR ENERGY RESEARCH,"Institute Of Nuclear Energy Research, Atomic Energy Council, Executive Yuan"
"Atomospherix, LLC","Atomospherix, Llc."
"Atomospherix, LLC.","Atomospherix, Llc."
"ATSUMITEC CO., LTD.",Atsumitec Co. Ltd.
Attaccato Limited Liability Company,Attaccato Ltd
Au Optronics Corp.,Au Optronics Corp.
Au Optronics Corporation,Au Optronics Corp.
Audi AG,Audi Ag
Ausimont S.p.A.,Ausimont S.P.A.
Austmont S.p.A.,Ausimont S.P.A.
"Automat Solutions, Inc.","Automat Solutions, Inc."
Automobiles Citrogen,Automobiles Citrogen
Automobiles Peugeot,Automobiles Peugeot
Avertica Inc.,Avertica Inc.
"Avertica, Inc.",Avertica Inc.
Avestor Limited Partnership,Avestor Lp
Avestor LP,Avestor Lp
"Avista Laboratories, Inc.","Avista Laboratories, Inc."
Avista Labs,Avista Labs
Axiva GmbH,Axiva Gmbh
B. Braun Surgical S.A.,B. Braun Surgical S.A.
"B. BRAUN SURGICAL, S.A.",B. Braun Surgical S.A.
BAC2 Ltd.,Bac2 Ltd.
"Baiso Co., Ltd.","Baiso Co., Ltd."
Ballard Generation Systems Inc.,Ballard Generation Systems Inc.
"Ballard Generation Systems, Inc.",Ballard Generation Systems Inc.
Ballard Material Products Inc.,Ballard Material Products Inc.
"Ballard Power System, Inc.",Ballard Power Systems Inc.
Ballard Power Systems AG,Ballard Power Systems Inc.
Ballard Power Systems AG.,Ballard Power Systems Inc.
Ballard Power Systems Inc.,Ballard Power Systems Inc.
"Ballard Power Systems, Inc.",Ballard Power Systems Inc.
Ballard Powers Systems Inc.,Ballard Power Systems Inc.
"BAOSHAN IRON & STEEL CO., LTD.","Baoshan Iron & Steel Co., Ltd."
BASF,Basf Se
BASF Aktiengesellschaft,Basf Ag
"BASF BATERY MATERIALS (SUZHOU) CO.,LTD.","Basifu Battery Material （Suzhou） Co., Ltd."
BASF Corporation,Basf Corp
BASF FUEL CELL GHBH,Basf Fuel Cell Gmbh
BASF Fuel Cell GmbH,Basf Fuel Cell Gmbh
BASF SE,Basf Se
"Basifu Battery Material （Suzhou） Co., Ltd.","Basifu Battery Material （Suzhou） Co., Ltd."
BATHIUM  CANADA INC.,Bathium Canada Inc.
BATHIUM CANADA INC.,Bathium Canada Inc.
BATHIUM LIMITED PARTNERSHIP,Bathium Canada Inc.
Batscap,Batscap
"Battelle Energy Alliance, LLC","Battelle Energy Alliance, Llc"
BATTELLE MEMORIAL INSITITUTE,"Battelle Energy Alliance, Llc"
Battelle Memorial Institute,Battelle Memorial Institute Inc
Battelle Memorial Institute Inc,Battelle Memorial Institute Inc
BATTERY ENERGY STORAGE SYSTEMS-TECHNOLOGIES,"Battery Engineering, Inc."
"Battery Engineering, Inc.","Battery Engineering, Inc."
Bayerische Motoren Werke Aktiengesellschaft,Bayerische Motoren Werke Ag
"BBC Brown, Boveri & Company, Limited","Bbc Brown, Boveri & Co, Ltd"
BCS Technology,Bcs Technology
"BCS Technology, Inc.",Bcs Technology
BDF IP Holdings Ltd.,Bdf Ip Holdings Ltd.
Bechtel Corporation,Bechtel Corp
"BEIJING APOLLO DING RONG SOLAR TECHNOLOGY CO., LTD.","Beijing Apollo Ding Rong Solar Technology Co., Ltd."
"BEIJING BOE OPTOELECTRONICS TECHNOLOGY CO., LTD.","Beijing Boe Optoelectronics Technology Co., Ltd."
"Beijing Globe Super Power New Energy Technology Developement Co., Ltd.","Beijing Globe Super Power New Energy Technology Development Co., Ltd."
BEIJING INSTITUTE OF TECHNOLOGY,Beijing Institute Of Technology
BEIJING NORMAL UNIVERSITY,Beijing Normal University
"BEIJING ZHONGKAIHONGDE TECHNOLOGY CO., LTD","Beijing Zhongkai Hongde Technology Co.,Ltd"
Belenos Clean Power Holding AG,Belenos Clean Power Holding Ag
Bell Communications Research Inc.,"Bell Communications Research, Inc."
"Bell Communications Research, Inc.","Bell Communications Research, Inc."
"Bell Telephone Laboratories, Incorporated","Bell Telephone Laboratories, Incorped"
Beltech LLC. ,Beltech Llc. 
"Beltech, LLC",Beltech Llc. 
Ben Gurion University of the Negev R&D Authority,Ben Gurion University Of The Negev Research & Development Authority
Ben Gurion University of the Negev Research & Development Authority,Ben Gurion University Of The Negev Research & Development Authority
Ben Gurion University of the Negev Research and Development Authority,Ben Gurion University Of The Negev Research & Development Authority
Bendix Autolite Corporation,Bendix Autolite Corp.
Betolar Oy,"Betolar, Betolar Oyj"
"BETOLAR, Betolar Oyj","Betolar, Betolar Oyj"
Bettergy Corp.,Bettergy Corp.
Between Lizenz GmbH,Between Lizenz Gmbh
BG PLC,Bg Plc
"BG, plc",Bg Plc
"BHA Group, Inc.","Bha Group, Inc."
Binsmaier nee Gallin-Ast; Hannelore,Binsmaier Nee Gallin-Ast; Hannelore
BIOENNO TECH LLC,Bioenno Tech Llc
Bloom  Energy Corporation,Bloom Energy Corp.
BLOOM ENERGY CORORATION,Bloom Energy Corp.
Bloom Energy Corporation,Bloom Energy Corp.
"Blue Current, Inc.","Blue Current, Inc."
Blue Horizon Innovations LLC,Blue Horizon Innovations Llc
"Blue Horizons Innovations,LLC",Blue Horizon Innovations Llc
Blue Solutions,Blue Solutions Canada Inc.
Blue Solutions Canada Inc.,Blue Solutions Canada Inc.
"Board of Regents of the Nevada System of Higher Education,on behalf of the University of Nevada, L","Board Of Regents Of The Nevada System Of Higher Education,On Behalf Of The University Of Nevada, Las Vegas, Nv"
"Board of Regents of the Nevada System of Higher Education,on behalf of the University of Nevada, Las Vegas, NV","Board Of Regents Of The Nevada System Of Higher Education,On Behalf Of The University Of Nevada, Las Vegas, Nv"
Board of Regents University and Community College System of Nevada,Nevada System Of Higher Education
"Board of Regents, The University of Texas System","Board Of Regents,The University Of Texas System"
"Board Of Regents,The University of Texas System","Board Of Regents,The University Of Texas System"
BOARD OF TRUSTEES OF MICHIGAN STATE UNIVERSITY,Board Of Trustees Of Michigan State University
"BOE TECHNOLOGY GROUP CO., LTD.","Boe Technology Group Co.,Ltd."
"Boe Technology Group Co.,Ltd.","Boe Technology Group Co.,Ltd."
BORSIG Process Heat Exchanger GmbH,Borsig Process Heat Exchanger Gmbh
Bose Corporation,Bose Corp
"BPS Co., Ltd","Bps Co.,Ltd"
BRETON S.P.A.,Breton S.P.A.
Breton SpA,Breton S.P.A.
Bridgestone Corporation,Bridgestone Corp
Brigham Young University,Brigham Young University
"BRIGHTVOLT, INC.","Brightvolt, Inc."
British Nuclear Fuels PLC,British Nuclear Fuels Plc
Brookhaven Science Associates,Brookhaven Science Associates
"Brookhaven Science Associates, LLC",Brookhaven Science Associates
Brother Kogyo Kabushiki Kaisha,Brother Kogyo K.K.
"BTU International, Inc.","Btu International, Inc."
BYD Co. Ltd.,Byd Co. Ltd.
BYD COMPANY LIMITED,Byd Co. Ltd.
C.R.F. SOCIETA CONSORTILE PER AZIONI,Centro Ricerche Fiat S.C.P.A.
C/O EAMEX CORPORATION,"Amex Hardware Co., Ltd."
C2CNT LLC,C2Cnt Llc
"C3 International, LLC","C3 International, Llc"
Cabot Corporation,Cabot Corp
CABOT CORPORATION,Cabot Microelectronics Corp
Cabot Microelectronics Corporation,Cabot Microelectronics Corp
"CALB Technology co., Ltd.",Caleb Technology Corp
Caleb Technology Corporation,Caleb Technology Corp
California Institute of Technology,California Institute Of Technology
"California Institute of Technology, a California corporation",California Institute Of Technology
"California Institute of Technology, a nonprofit organization",California Institute Of Technology
"California Institute of Technology, California corporation",California Institute Of Technology
California Institute of Techology,California Institute Of Technology
Calsonic Kansei Corporation,Calsonic Kansei Corp
Cambridge Enterprise Limited,Cambridge Enterprise Ltd.
Cambridge Enterprise Ltd.,Cambridge Enterprise Ltd.
"CAMX POWER, LLC.","Camx Power, Llc."
Canon Inc,Canon Inc.
Canon Inc.,Canon Inc.
Canon Kabushiki Kaisha,Canon Inc.
Carbonxt Group Limited,Carbonxt Group Ltd
"Cardiac Pacemakers, Inc.","Cardiac Pacemakers, Inc."
"CARESTREAM HEALTH, INC.","Carestream Health, Inc."
Carl Freudenberg KG,Carl Freudenberg Kg
"Carleton Life Support Systems, Inc.","Carleton Life Support Systems, Inc."
"Carlit Holdings co., Ltd.","Carlit Holdings Co., Ltd."
Case Western Reserve University,Case Western Reserve University
CATALER CORPORATION,Cataler Corp
Caterpillar Global Mining Europe GmbH,Caterpillar Global Mining Europe Gmbh
CDP INNOVATION,Cdp Innovation
Celanese Ventures GmbH,Celanese Ventures Gmbh
Celgard Inc.,Celgard Llc
Celgard LLC,Celgard Llc
"Celgard, LLC",Celgard Llc
"Cell Tech Power, Inc.","Celltech Power, Inc."
"Cellera, Inc.",Cellera Inc.
"CellTech Power, Inc.","Celltech Power, Inc."
"Central Glass Co., Ltd.","Central Glass Co., Ltd."
"Central Glass Company, Limited","Central Glass Co., Ltd."
"Central Glass Company, Ltd.","Central Glass Co., Ltd."
Central Research Institute of Electric Power Industry,Central Research Institute Of Electric Power Industry
Centre de la Recherche Scientifique,Centre National De La Recherche Scientifique
Centre Naional De La Recherche,Centre National De La Recherche Scientifique
Centre National de la Rechecch Scientifique,Centre National De La Recherche Scientifique
Centre national de la recherche scientfique,Centre National De La Recherche Scientifique
CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIC,Centre National De La Recherche Scientifique
Centre National de la Recherche Scientifique,Centre National De La Recherche Scientifique
CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE - CNRS -,Centre National De La Recherche Scientifique
Centre National de la Recherche Scientifique (“CNRS”),Centre National De La Recherche Scientifique
Centre National de la Recherche Scientifique (CNRS),Centre National De La Recherche Scientifique
CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE-CNRS-,Centre National De La Recherche Scientifique
CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE—CNRS,Centre National De La Recherche Scientifique
CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE—CNRS-,Centre National De La Recherche Scientifique
Centre National De La Recherche Scientifique—CNRS—,Centre National De La Recherche Scientifique
CENTRE NATIONAL DE LA RECHERCHE SCIENTIFQUE,Centre National De La Recherche Scientifique
CENTRE NATIONAL DE LA RECHERCHES SCIENTIFIQUE,Centre National De La Recherche Scientifique
Centre Nationale de la Recherche,Centre National De La Recherche Scientifique
Centre Nationale de la Recherche Scientifique,Centre National De La Recherche Scientifique
CENTRE NATIONALE DE RECHERCHE SCIENTIFIQUE,Centre National De La Recherche Scientifique
CERAM HYD,Ceram Hyd
"Ceramatec, Inc","Ceramatec, Inc."
"Ceramatec, Inc.","Ceramatec, Inc."
"Ceramates, Inc.","Ceramatec, Inc."
Ceramic Fuel Cells Limited,Ceramic Fuel Cells Ltd
Ceramic Fuel Cells Ltd.,Ceramic Fuel Cells Ltd
CERAMTEC GMBH,Ceramtec Gmbh
Ceres Intellectual Property Company Limited,Ceres Intellectual Property Co Ltd
"CERION ENTERPRISES, LLC","Cerion Enterprises, Llc"
CERION LLC,"Cerio, Llc"
"Cermacell, LLC","Cermacell, Llc"
"Cerramatec, Inc.","Cerramatec, Inc."
CHANG CHUN PETROCHEMICAL CO. LTD.,"Chang Chun Petrochemical Co., Ltd."
"Chang Chun Petrochemical Co., Ltd.","Chang Chun Petrochemical Co., Ltd."
Chang Gung University,Chang Gung University
Changs Ascending Enterprise Co.,"Changs Ascending Enterprise Co., Ltd."
"Changs Ascending Enterprise Co., Ltd.","Changs Ascending Enterprise Co., Ltd."
"Changs Ascending Enterprise Co., Ltd.","Changs Ascending Enterprise Co.,Ltd."
"Changzhou Zhongke Laifang Power Development Co., Ltd.","Changzhou Zhongke Laifang Power Development Co.,Ltd."
"CHANGZHOU ZHONGKE LAIFANG POWER SCIENCE & TECHNOLOGY CO., LTD.","Changzhou Zhongke Laifang Power Development Co.,Ltd."
Cheil Industries,Cheil Industries Inc.
CHEIL INDUSTRIES INC.,Cheil Industries Inc.
"Cheil Industries, Inc.",Cheil Industries Inc.
Chemergy Ltd.,Chemergy Ltd.
Chevron U.S.A. Inc.,Chevron U.S.A. Inc.
"Chevron U.S.A., Inc.",Chevron U.S.A. Inc.
Chisso Corporation,Chisso Corp
Chisso Petrochemical Corporation,Chisso Petrochemical Corp
"Chlorine Engineers Corp., Ltd.","Chlorine Engineers Corp., Ltd."
Chongqing Institute of East China Normal University,Chongqing Institute Of East China Normal University
"CHONGQING JINKANG NEW ENERGY AUTOMOBILE CO., LTD.","Chongqing Jinkang New Energy Automobile Co.,Ltd."
"Chongqing Jinkang New Energy Automobile Co.,Ltd.","Chongqing Jinkang New Energy Automobile Co.,Ltd."
Chronar Corp.,Chronar Corp.
Chung Ang University Industry Academic Cooperation Foundation ,Chung Ang University Industry Academic Cooperation Foundation 
Chung Yuan Christian University,Chung Yuan Christian University
CHUNGANG UNIVERSITY INDUSTRY ACADEMIC COOPERATION FOUNDATION,Chung Ang University Industry Academic Cooperation Foundation 
CIC ENERGIGUNE,Cic Energigune
"City Labs, Inc.","City Labs, Inc."
City Technology Limited,City Technology Ltd
City University of Hong Kong,City University Of Hong Kong
CJBD Limited,Cjbd Ltd
CLARIANT (CANADA) INC.,"Clariant Canada, Inc."
Clariant Produkte (Deutschland) GmbH,Clariant Produkte (Deutschland) Gmbh
Clark Atlanta University,Clark Atlanta University
Clarkson University,Clarkson University
"ClearEdge Power, Inc.","Clearedge Power, Inc. "
"ClearEdge Power, Inc. ","Clearedge Power, Inc. "
CLEMSON UNIVERSITY,Clemson University
CNRS,Centre National De La Recherche Scientifique
CNRS (Centre National de la Recherche Scientifique ),Centre National De La Recherche Scientifique
CNRS (Centre National de la Recherche Scientifique),Centre National De La Recherche Scientifique
COGENT HEAT ENERGY STORAGE SYSTEMS LTD,Cogent Heat Energy Storage Systems Ltd
COLLEGE DE FRANCE,College De France
College of William and Mary,College Of William And Mary
Colorado School of Mines,Colorado School Of Mines
Colorado State University Research Foundation,Colorado State University Research Foundation
"Combustion Engineering, Inc.","Combustion Engineering, Inc."
Comm. A L'Energie Atomique et Aux Energies Alt.,"Combustion Engineering, Inc."
COMMISARIAT A L'ENERGIE ATOMIQUE ET AUX ENERGIES ALTERNATIVES,Commissariat À L'Énergie Atomique Et Aux Énergies Alternatives
Commissariat a I'energie atomique et aux energies alternatives,Commissariat À L'Énergie Atomique Et Aux Énergies Alternatives
COMMISSARIAT A L ' ENERGIE ATOMIQUE ET AUX ENERGIES AL TERNATIVES,Commissariat À L'Énergie Atomique Et Aux Énergies Alternatives
COMMISSARIAT A L 'ENERGIE ATOMIQUE ET AUX ENERGIES ALTERNATIVES,Commissariat À L'Énergie Atomique Et Aux Énergies Alternatives
COMMISSARIAT A L' ENERGIE ATOMIQUE ET AUX ENERGIES ALTERNATIVES,Commissariat À L'Énergie Atomique Et Aux Énergies Alternatives
Commissariat a l&apos;Energie Atomique,Commissariat À L'Énergie Atomique Et Aux Énergies Alternatives
Commissariat a l′Energie Atomique,Commissariat À L'Énergie Atomique Et Aux Énergies Alternatives
Commissariat A L'Energie Atmique et aux Energies Alternatives,Commissariat À L'Énergie Atomique Et Aux Énergies Alternatives
Commissariat a l'Energie Atomique,Commissariat À L'Énergie Atomique Et Aux Énergies Alternatives
COMMISSARIAT A L'ENERGIE ATOMIQUE AUX ENERGIES ALTERNATIVES,Commissariat À L'Énergie Atomique Et Aux Énergies Alternatives
COMMISSARIAT A L'ENERGIE ATOMIQUE ET AUX  ENERGIES ALTERNATIVES,Commissariat À L'Énergie Atomique Et Aux Énergies Alternatives
COMMISSARIAT A L'ENERGIE ATOMIQUE ET AUX ENE ALT,Commissariat À L'Énergie Atomique Et Aux Énergies Alternatives
Commissariat A L'Energie Atomique Et Aux Energie Alternatives,Commissariat À L'Énergie Atomique Et Aux Énergies Alternatives
COMMISSARIAT A L'ENERGIE ATOMIQUE ET AUX ENERGIES,Commissariat À L'Énergie Atomique Et Aux Énergies Alternatives
COMMISSARIAT A L'ENERGIE ATOMIQUE ET AUX ENERGIES  ALTERNATIVES,Commissariat À L'Énergie Atomique Et Aux Énergies Alternatives
COMMISSARIAT A L'ENERGIE ATOMIQUE ET AUX ENERGIES AL TERNATIVES,Commissariat À L'Énergie Atomique Et Aux Énergies Alternatives
COMMISSARIAT A L'ENERGIE ATOMIQUE ET AUX ENERGIES ALTERNATIVE,Commissariat À L'Énergie Atomique Et Aux Énergies Alternatives
COMMISSARIAT A L'ENERGIE ATOMIQUE ET AUX ENERGIES ALTERNATIVES,Commissariat À L'Énergie Atomique Et Aux Énergies Alternatives
Commissariat A' L'Energie Atomique et aux Energies Alternatives,Commissariat À L'Énergie Atomique Et Aux Énergies Alternatives
COMMISSARIAT À L'ENERGIE ATOMIQUE ET AUX ENERGIES ALTERNATIVES,Commissariat À L'Énergie Atomique Et Aux Énergies Alternatives
COMMISSARIAT À L'ÉNERGIE ATOMIQUE ET AUX ÉNERGIES ALTERNATIVES,Commissariat À L'Énergie Atomique Et Aux Énergies Alternatives
Commissariat à l'Énergie Atomique et aux Énergies Aternatives,Commissariat À L'Énergie Atomique Et Aux Énergies Alternatives
Commissariat a l'Engergie Atomique,Commissariat À L'Énergie Atomique Et Aux Énergies Alternatives
Commissariat A'Lenergie Atomique,Commissariat À L'Énergie Atomique Et Aux Énergies Alternatives
COMMISSARIATA L'ENERGIE ATOMIQUE ET AUX ENERGIES ALTERNATIVES,Commissariat À L'Énergie Atomique Et Aux Énergies Alternatives
COMMISSRIAT A L'ENERGIE ATOMIQUE ET AUX ENERGIES ALTERNATIVES,Commissariat À L'Énergie Atomique Et Aux Énergies Alternatives
Commonwealth Scientific and Industrial Research Organisation,Commonwealth Scientific And Industrial Research Organisation
Compagnie Generale des Etablissements Michelin,Compagnie Générale Des Etablissements Michelin
Compaq Computer Corporation,Compaq Computer Corp
Comsat Corporation,Comsat Corp
Conservatoire National des Arts et Metiers and Electricite de France (Service National),Conservatoire National Des Arts Et Metiers And Electricite De France (Service National)
Consiglio Nazionale Delle Ricerche,Consiglio Nazionale Delle Ricerche
"Contemporary Amperex Technology Co, Limited","Contemporary Amperex Technology Co., Ltd"
"CONTEMPORARY AMPEREX TECHNOLOGY CO., LIMITED","Contemporary Amperex Technology Co., Ltd"
Continental Automotive GmbH,Continental Automotive Gmbh
CoorsTek Membrane Sciences,Coorstek Membrane Sciences
COORSTEK MEMBRANE SCIENCES AS,Coorstek Membrane Sciences
"CoorsTek, INc.","Coorstek, Inc."
"Coreshell Technologies, Inc.","Coreshell Technologies, Inc."
Cornell Research Foundation Inc,Cornell Research Foundation Inc
Cornell University,Cornell University
"Cornerstone Research Group, Inc.","Cornerstone Research Group, Inc."
Corning Inc,Corning Inc.
Corning Inc.,Corning Inc.
Corning Incorporated,Corning Inc.
Council for Scientific and Industrial Research,Council For Scientific And Industrial Research
